molecule_name,X,Y,Z
dsgdb9nsd_000001,0,0,0
dsgdb9nsd_000002,-0.0002,0,1.6256
dsgdb9nsd_000003,0,0,-1.8511
dsgdb9nsd_000005,0,0,-2.8937
dsgdb9nsd_000007,0,0,0
dsgdb9nsd_000008,0.6506,-1.3801,-0.0002
dsgdb9nsd_000009,0.7156,0.0004,-0.0004
dsgdb9nsd_000010,3.8266,0,-0.0001
dsgdb9nsd_000011,2.3605,1.0119,0.0004
dsgdb9nsd_000012,-3.6612,0.7058,0.0009
dsgdb9nsd_000013,0,0.0597,0
dsgdb9nsd_000014,0.2449,1.3917,0.0003
dsgdb9nsd_000017,0,-1.7675,0
dsgdb9nsd_000018,0,-2.7363,0
dsgdb9nsd_000019,0.1916,-3.615,0.3468
dsgdb9nsd_000021,-0.0001,0,-0.0897
dsgdb9nsd_000023,0,0,0
dsgdb9nsd_000026,2.4606,1.2989,0
dsgdb9nsd_000027,-1.1467,2.0067,0
dsgdb9nsd_000028,0,0,-0.002
dsgdb9nsd_000029,0,0,0
dsgdb9nsd_000030,-0.6894,0.155,0.0001
dsgdb9nsd_000031,-3.7132,1.2668,-0.0005
dsgdb9nsd_000032,3.9479,1.653,1.1665
dsgdb9nsd_000033,0.8563,1.4929,-0.0005
dsgdb9nsd_000034,3.9848,2.452,-0.0016
dsgdb9nsd_000037,-3.5168,1.7317,0
dsgdb9nsd_000038,-1.5344,-0.2817,-0.7573
dsgdb9nsd_000039,0,0,0
dsgdb9nsd_000040,-0.0548,1.3391,0.0014
dsgdb9nsd_000044,0.8039,1.5022,0.617
dsgdb9nsd_000046,1.1002,0.0004,-0.8486
dsgdb9nsd_000047,0,0,0
dsgdb9nsd_000049,-0.4981,0.4739,-0.0029
dsgdb9nsd_000050,1.8689,-0.0001,0
dsgdb9nsd_000051,1.614,3.2396,0
dsgdb9nsd_000052,0,-0.5571,0.0001
dsgdb9nsd_000053,-0.7087,-1.3312,0.0001
dsgdb9nsd_000055,-1.1077,0.0012,-0.8297
dsgdb9nsd_000056,-1.2142,-2.5872,-0.0004
dsgdb9nsd_000057,-2.5527,-2.1464,0.0002
dsgdb9nsd_000059,-0.8195,3.6252,0.0005
dsgdb9nsd_000060,0.2827,0.9029,0.0005
dsgdb9nsd_000063,-0.6509,0.0001,-0.0949
dsgdb9nsd_000065,2.7091,0.3167,0.2902
dsgdb9nsd_000066,0.3933,0.9961,-0.8354
dsgdb9nsd_000067,-3.1325,0.8836,-0.305
dsgdb9nsd_000068,-2.6237,-0.0002,0.6029
dsgdb9nsd_000075,-0.1302,-3.5332,-0.455
dsgdb9nsd_000076,-0.8932,-0.7826,-0.0004
dsgdb9nsd_000077,0.3098,-1.7294,0
dsgdb9nsd_000079,-0.4463,-4.5449,0.0826
dsgdb9nsd_000081,-0.1974,-1.0224,0.8029
dsgdb9nsd_000083,0.0249,-0.0288,-0.0487
dsgdb9nsd_000084,1.043,-0.4096,0.8215
dsgdb9nsd_000085,-0.0346,0.736,0.7838
dsgdb9nsd_000087,0.9362,0,-1.5649
dsgdb9nsd_000088,-0.382,-0.7061,1.1251
dsgdb9nsd_000089,-2.5581,0.2789,0
dsgdb9nsd_000092,-3.5328,1.7305,-0.0001
dsgdb9nsd_000094,-0.8477,0,0.0001
dsgdb9nsd_000096,-0.0155,1.6822,-0.0302
dsgdb9nsd_000097,-1.8055,0,0.59
dsgdb9nsd_000098,-1.1359,0,-0.9179
dsgdb9nsd_000099,1.7364,0.9495,1.3855
dsgdb9nsd_000100,0,-0.0463,-0.0913
dsgdb9nsd_000102,-0.7056,-0.4831,0.9093
dsgdb9nsd_000103,0,1.2896,1.2785
dsgdb9nsd_000104,2.1206,1.2345,-0.4372
dsgdb9nsd_000105,0.0001,0.0002,0
dsgdb9nsd_000106,0,-1.8725,0
dsgdb9nsd_000107,0,0.4777,0.0001
dsgdb9nsd_000111,1.2095,1.4272,1.1036
dsgdb9nsd_000112,-1.7084,4.7931,0.0007
dsgdb9nsd_000113,-1.8073,3.8287,-0.0002
dsgdb9nsd_000114,0,5.2904,0
dsgdb9nsd_000115,0.9753,0.2994,0.6087
dsgdb9nsd_000117,3.5413,1.3305,0.0004
dsgdb9nsd_000118,0.2077,-1.2311,0
dsgdb9nsd_000119,-0.0337,0.0704,0
dsgdb9nsd_000120,-1.2865,2.6091,-0.0001
dsgdb9nsd_000121,0.7718,0.0727,0.0011
