molecule_name,atom_index,XX,YX,ZX,XY,YY,ZY,XZ,YZ,ZZ
dsgdb9nsd_000001,0,195.315,0,-0.0001,0,195.317,0.0007,-0.0001,0.0007,195.317
dsgdb9nsd_000001,1,31.341,-1.2317,4.0544,-1.2317,28.9546,-1.7173,4.0546,-1.7173,34.0861
dsgdb9nsd_000001,2,31.5814,1.2173,-4.1474,1.2173,28.9036,-1.6036,-4.1476,-1.6036,33.8967
dsgdb9nsd_000001,3,31.5172,4.1086,1.2723,4.1088,33.9068,1.695,1.2724,1.6951,28.9579
dsgdb9nsd_000001,4,31.4029,-4.0942,-1.1793,-4.0944,34.0776,1.6259,-1.1795,1.626,28.9013
dsgdb9nsd_000002,0,275.635,0.0003,0.0133,0.0003,275.636,-0.0003,0.0161,-0.0004,237.497
dsgdb9nsd_000002,1,31.2593,5.6126,-2.1025,5.6136,37.4364,-3.5567,-2.4461,-4.1372,27.9884
dsgdb9nsd_000002,2,31.0341,-5.4827,-2.0299,-5.4837,37.6618,3.5987,-2.3616,4.1861,27.9885
dsgdb9nsd_000002,3,40.7507,-0.13,4.1318,-0.13,27.9413,-0.0419,4.8083,-0.0488,27.9889
dsgdb9nsd_000003,0,310.096,0,0,0,355.773,0,0,0,324.155
dsgdb9nsd_000003,1,24.6745,0,0,0,39.173,-6.6879,0,-8.8417,31.6296
dsgdb9nsd_000003,2,24.6745,0,0,0,39.173,6.6879,0,8.8417,31.6296
dsgdb9nsd_000005,0,0.0482,0,0,0,0.0482,0,0,0,278.265
dsgdb9nsd_000005,1,-180.131,0,0,0,-180.131,0,0,0,339.694
dsgdb9nsd_000005,2,24.3125,0,0,0,24.3125,0,0,0,39.0232
dsgdb9nsd_000007,0,190.362,0.0004,0.0008,0.0001,177.015,0.0007,0.0008,0.0005,177.01
dsgdb9nsd_000007,1,190.362,0.0005,0.0009,0.0002,177.015,0.0006,0.0009,0.0007,177.01
dsgdb9nsd_000007,2,31.7293,-2.894,3.3643,-2.1656,29.7981,-3.3396,2.5174,-3.3395,30.8073
dsgdb9nsd_000007,3,31.7292,-1.4667,-4.1883,-1.0976,27.6631,2.1074,-3.134,2.1072,32.942
dsgdb9nsd_000007,4,31.7291,4.3606,0.824,3.2632,33.4467,1.2323,0.6166,1.2323,27.158
dsgdb9nsd_000007,5,31.7291,-1.4666,-4.1882,-1.0976,27.6631,2.1073,-3.1341,2.1071,32.9421
dsgdb9nsd_000007,6,31.7293,-2.894,3.3642,-2.1656,29.7982,-3.3397,2.5173,-3.3395,30.8071
dsgdb9nsd_000007,7,31.7291,4.3606,0.824,3.2632,33.4467,1.2324,0.6167,1.2325,27.158
dsgdb9nsd_000008,0,187.238,-3.5712,-0.0039,-3.5338,110.666,-0.0015,-0.0071,-0.0044,119.809
dsgdb9nsd_000008,1,298.035,18.1911,-0.0127,58.2958,376.812,-0.0046,-0.0533,0.0226,309.018
