molecule_name,atom_index,mulliken_charge
dsgdb9nsd_000001,0,-0.535689
dsgdb9nsd_000001,1,0.133921
dsgdb9nsd_000001,2,0.133922
dsgdb9nsd_000001,3,0.133923
dsgdb9nsd_000001,4,0.133923
dsgdb9nsd_000002,0,-0.707143
dsgdb9nsd_000002,1,0.235712
dsgdb9nsd_000002,2,0.235712
dsgdb9nsd_000002,3,0.23572
dsgdb9nsd_000003,0,-0.589706
dsgdb9nsd_000003,1,0.294853
dsgdb9nsd_000003,2,0.294853
dsgdb9nsd_000005,0,-0.049655
dsgdb9nsd_000005,1,-0.188473
dsgdb9nsd_000005,2,0.238128
dsgdb9nsd_000007,0,-0.345672
dsgdb9nsd_000007,1,-0.345672
dsgdb9nsd_000007,2,0.115222
dsgdb9nsd_000007,3,0.115225
dsgdb9nsd_000007,4,0.115225
dsgdb9nsd_000007,5,0.115225
dsgdb9nsd_000007,6,0.115222
dsgdb9nsd_000007,7,0.115225
dsgdb9nsd_000008,0,-0.220179
dsgdb9nsd_000008,1,-0.403148
dsgdb9nsd_000008,2,0.102778
dsgdb9nsd_000008,3,0.102783
dsgdb9nsd_000008,4,0.131574
dsgdb9nsd_000008,5,0.286193
dsgdb9nsd_000009,0,-0.493018
dsgdb9nsd_000009,1,0.286586
dsgdb9nsd_000009,2,-0.443025
dsgdb9nsd_000009,3,0.151087
dsgdb9nsd_000009,4,0.151092
dsgdb9nsd_000009,5,0.151097
dsgdb9nsd_000009,6,0.196182
dsgdb9nsd_000010,0,-0.490926
dsgdb9nsd_000010,1,0.247402
dsgdb9nsd_000010,2,-0.285473
dsgdb9nsd_000010,3,0.17634
dsgdb9nsd_000010,4,0.176328
dsgdb9nsd_000010,5,0.176329
dsgdb9nsd_000011,0,-0.450295
dsgdb9nsd_000011,1,0.172068
dsgdb9nsd_000011,2,-0.225967
dsgdb9nsd_000011,3,0.145454
dsgdb9nsd_000011,4,0.143237
dsgdb9nsd_000011,5,0.143266
dsgdb9nsd_000011,6,0.072238
dsgdb9nsd_000012,0,-0.463064
dsgdb9nsd_000012,1,0.169708
dsgdb9nsd_000012,2,-0.304836
dsgdb9nsd_000012,3,0.264237
dsgdb9nsd_000012,4,0.26171
dsgdb9nsd_000012,5,0.072245
dsgdb9nsd_000013,0,-0.357354
dsgdb9nsd_000013,1,-0.143977
dsgdb9nsd_000013,2,-0.357354
dsgdb9nsd_000013,3,0.112012
dsgdb9nsd_000013,4,0.112009
dsgdb9nsd_000013,5,0.109753
dsgdb9nsd_000013,6,0.095569
dsgdb9nsd_000013,7,0.095569
dsgdb9nsd_000013,8,0.112009
dsgdb9nsd_000013,9,0.109753
dsgdb9nsd_000013,10,0.112012
dsgdb9nsd_000014,0,-0.354779
dsgdb9nsd_000014,1,-0.043841
dsgdb9nsd_000014,2,-0.415734
dsgdb9nsd_000014,3,0.125479
dsgdb9nsd_000014,4,0.125474
dsgdb9nsd_000014,5,0.11091
dsgdb9nsd_000014,6,0.083978
dsgdb9nsd_000014,7,0.083979
dsgdb9nsd_000014,8,0.284535
dsgdb9nsd_000017,0,-0.132563
dsgdb9nsd_000017,1,-0.132563
dsgdb9nsd_000017,2,-0.20446
dsgdb9nsd_000017,3,0.117396
dsgdb9nsd_000017,4,0.117397
dsgdb9nsd_000017,5,0.117397
dsgdb9nsd_000017,6,0.117396
dsgdb9nsd_000018,0,-0.468684
dsgdb9nsd_000018,1,0.39155
dsgdb9nsd_000018,2,-0.468683
dsgdb9nsd_000018,3,-0.28562
dsgdb9nsd_000018,4,0.136461
dsgdb9nsd_000018,5,0.142771
dsgdb9nsd_000018,6,0.136487
dsgdb9nsd_000018,7,0.136463
dsgdb9nsd_000018,8,0.14277
dsgdb9nsd_000018,9,0.136485
dsgdb9nsd_000019,0,-0.478839
dsgdb9nsd_000019,1,0.395996
dsgdb9nsd_000019,2,-0.504896
dsgdb9nsd_000019,3,-0.34849
dsgdb9nsd_000019,4,0.125842
dsgdb9nsd_000019,5,0.152191
dsgdb9nsd_000019,6,0.143537
dsgdb9nsd_000019,7,0.255104
dsgdb9nsd_000019,8,0.259555
dsgdb9nsd_000021,0,-0.370438
dsgdb9nsd_000021,1,0.064357
dsgdb9nsd_000021,2,-0.370398
dsgdb9nsd_000021,3,-0.370427
dsgdb9nsd_000021,4,0.109505
dsgdb9nsd_000021,5,0.10781
dsgdb9nsd_000021,6,0.107822
dsgdb9nsd_000021,7,0.071533
dsgdb9nsd_000021,8,0.109494
dsgdb9nsd_000021,9,0.107789
dsgdb9nsd_000021,10,0.10782
dsgdb9nsd_000021,11,0.107823
dsgdb9nsd_000021,12,0.107801
dsgdb9nsd_000021,13,0.109509
dsgdb9nsd_000023,0,0.214964
dsgdb9nsd_000023,1,0.214964
dsgdb9nsd_000023,2,-0.413295
dsgdb9nsd_000023,3,-0.413295
dsgdb9nsd_000023,4,0.198331
dsgdb9nsd_000023,5,0.198331
dsgdb9nsd_000026,0,-0.217695
dsgdb9nsd_000026,1,0.042515
dsgdb9nsd_000026,2,0.233835
dsgdb9nsd_000026,3,-0.391468
dsgdb9nsd_000026,4,0.108001
dsgdb9nsd_000026,5,0.224812
dsgdb9nsd_000027,0,-0.183635
dsgdb9nsd_000027,1,0.08224
dsgdb9nsd_000027,2,0.226189
dsgdb9nsd_000027,3,-0.269811
dsgdb9nsd_000027,4,0.145016
dsgdb9nsd_000028,0,-0.196988
dsgdb9nsd_000028,1,0.085173
dsgdb9nsd_000028,2,0.085173
dsgdb9nsd_000028,3,-0.196988
dsgdb9nsd_000028,4,0.111815
dsgdb9nsd_000028,5,0.111815
dsgdb9nsd_000029,0,-0.493528
dsgdb9nsd_000029,1,0.060056
dsgdb9nsd_000029,2,0.060213
dsgdb9nsd_000029,3,-0.493508
dsgdb9nsd_000029,4,0.144458
dsgdb9nsd_000029,5,0.144462
dsgdb9nsd_000029,6,0.144461
dsgdb9nsd_000029,7,0.144464
dsgdb9nsd_000029,8,0.144459
dsgdb9nsd_000029,9,0.144464
dsgdb9nsd_000030,0,-0.366522
dsgdb9nsd_000030,1,-0.30935
dsgdb9nsd_000030,2,0.308487
dsgdb9nsd_000030,3,-0.465859
dsgdb9nsd_000030,4,0.130303
dsgdb9nsd_000030,5,0.130303
dsgdb9nsd_000030,6,0.115232
dsgdb9nsd_000030,7,0.131213
dsgdb9nsd_000030,8,0.131216
dsgdb9nsd_000030,9,0.194978
dsgdb9nsd_000031,0,-0.373327
dsgdb9nsd_000031,1,-0.307059
dsgdb9nsd_000031,2,0.256037
dsgdb9nsd_000031,3,-0.303521
dsgdb9nsd_000031,4,0.143901
dsgdb9nsd_000031,5,0.143917
dsgdb9nsd_000031,6,0.129448
dsgdb9nsd_000031,7,0.155281
dsgdb9nsd_000031,8,0.155324
dsgdb9nsd_000032,0,-0.495906
dsgdb9nsd_000032,1,-0.271609
dsgdb9nsd_000032,2,0.279144
dsgdb9nsd_000032,3,-0.297415
dsgdb9nsd_000032,4,0.241934
dsgdb9nsd_000032,5,0.245778
dsgdb9nsd_000032,6,0.1371
dsgdb9nsd_000032,7,0.160973
dsgdb9nsd_000033,0,-0.407684
dsgdb9nsd_000033,1,-0.207413
dsgdb9nsd_000033,2,0.329634
dsgdb9nsd_000033,3,-0.448481
dsgdb9nsd_000033,4,0.291586
dsgdb9nsd_000033,5,0.119691
dsgdb9nsd_000033,6,0.119692
dsgdb9nsd_000033,7,0.202977
dsgdb9nsd_000034,0,-0.395295
dsgdb9nsd_000034,1,-0.185766
dsgdb9nsd_000034,2,0.279702
dsgdb9nsd_000034,3,-0.289706
dsgdb9nsd_000034,4,0.302962
dsgdb9nsd_000034,5,0.14405
dsgdb9nsd_000034,6,0.144054
dsgdb9nsd_000037,0,-0.243706
dsgdb9nsd_000037,1,-0.163318
dsgdb9nsd_000037,2,0.179928
dsgdb9nsd_000037,3,-0.270056
dsgdb9nsd_000037,4,0.146005
dsgdb9nsd_000037,5,0.129052
dsgdb9nsd_000037,6,0.146013
dsgdb9nsd_000037,7,0.076082
dsgdb9nsd_000038,0,-0.404641
dsgdb9nsd_000038,1,-0.143593
dsgdb9nsd_000038,2,0.120718
dsgdb9nsd_000038,3,-0.223592
dsgdb9nsd_000038,4,0.293628
dsgdb9nsd_000038,5,0.124725
dsgdb9nsd_000038,6,0.147144
dsgdb9nsd_000038,7,0.08561
