molecule_name,potential_energy
dsgdb9nsd_000001,-40.52368
dsgdb9nsd_000002,-56.56025
dsgdb9nsd_000003,-76.42608
dsgdb9nsd_000005,-93.42849
dsgdb9nsd_000007,-79.83869
dsgdb9nsd_000008,-115.7303
dsgdb9nsd_000009,-116.665
dsgdb9nsd_000010,-132.7634
dsgdb9nsd_000011,-153.843
dsgdb9nsd_000012,-169.9061
dsgdb9nsd_000013,-119.1557
dsgdb9nsd_000014,-155.0525
dsgdb9nsd_000017,-153.7999
dsgdb9nsd_000018,-193.1717
dsgdb9nsd_000019,-209.2325
dsgdb9nsd_000021,-158.4735
dsgdb9nsd_000023,-153.4972
dsgdb9nsd_000026,-190.6618
dsgdb9nsd_000027,-206.7484
dsgdb9nsd_000028,-227.8357
dsgdb9nsd_000029,-155.9928
dsgdb9nsd_000030,-155.9817
dsgdb9nsd_000031,-172.0803
dsgdb9nsd_000032,-188.1054
dsgdb9nsd_000033,-191.8715
dsgdb9nsd_000034,-207.967
dsgdb9nsd_000037,-229.0751
dsgdb9nsd_000038,-229.0531
dsgdb9nsd_000039,-158.4727
dsgdb9nsd_000040,-194.3693
dsgdb9nsd_000044,-193.1249
dsgdb9nsd_000046,-193.1201
dsgdb9nsd_000047,-157.226
dsgdb9nsd_000049,-248.4757
dsgdb9nsd_000050,-210.1842
dsgdb9nsd_000051,-226.232
dsgdb9nsd_000052,-230.039
dsgdb9nsd_000053,-246.0877
dsgdb9nsd_000055,-233.6956
dsgdb9nsd_000056,-229.9925
dsgdb9nsd_000057,-246.0819
dsgdb9nsd_000059,-246.0526
dsgdb9nsd_000060,-267.1683
dsgdb9nsd_000063,-195.2992
dsgdb9nsd_000065,-227.4296
dsgdb9nsd_000066,-231.1973
dsgdb9nsd_000067,-247.2935
dsgdb9nsd_000068,-232.4773
dsgdb9nsd_000075,-264.5962
dsgdb9nsd_000076,-248.5185
dsgdb9nsd_000077,-268.4107
dsgdb9nsd_000079,-284.4385
dsgdb9nsd_000081,-233.6876
dsgdb9nsd_000083,-197.789
dsgdb9nsd_000084,-233.692
dsgdb9nsd_000085,-233.6816
dsgdb9nsd_000087,-232.4486
dsgdb9nsd_000088,-232.4466
dsgdb9nsd_000089,-247.2817
dsgdb9nsd_000092,-267.1748
dsgdb9nsd_000094,-267.1355
dsgdb9nsd_000096,-232.4458
dsgdb9nsd_000097,-232.4406
dsgdb9nsd_000098,-232.4483
dsgdb9nsd_000099,-268.3394
dsgdb9nsd_000100,-196.5438
dsgdb9nsd_000102,-212.5637
dsgdb9nsd_000103,-232.4476
dsgdb9nsd_000104,-268.3415
dsgdb9nsd_000105,-195.2756
dsgdb9nsd_000106,-231.1614
dsgdb9nsd_000107,-192.8014
dsgdb9nsd_000111,-246.0779
dsgdb9nsd_000112,-263.3489
dsgdb9nsd_000113,-283.2119
dsgdb9nsd_000114,-283.2355
dsgdb9nsd_000115,-192.8281
dsgdb9nsd_000117,-229.994
dsgdb9nsd_000118,-231.2004
dsgdb9nsd_000119,-195.3095
dsgdb9nsd_000120,-248.4964
dsgdb9nsd_000121,-195.299
dsgdb9nsd_000124,-231.1809
dsgdb9nsd_000125,-247.2765
dsgdb9nsd_000126,-231.1956
dsgdb9nsd_000127,-247.2935
dsgdb9nsd_000129,-248.5388
dsgdb9nsd_000130,-268.3977
dsgdb9nsd_000131,-268.3617
dsgdb9nsd_000132,-268.3721
dsgdb9nsd_000133,-197.7896
dsgdb9nsd_000134,-233.6861
dsgdb9nsd_000135,-233.6788
dsgdb9nsd_000136,-233.684
dsgdb9nsd_000137,-269.5788
dsgdb9nsd_000138,-269.5817
dsgdb9nsd_000139,-194.0538
dsgdb9nsd_000140,-210.081
dsgdb9nsd_000141,-229.9461
dsgdb9nsd_000142,-210.1519
dsgdb9nsd_000144,-246.0395
dsgdb9nsd_000145,-231.2358
dsgdb9nsd_000149,-196.543
dsgdb9nsd_000150,-232.442
dsgdb9nsd_000151,-212.5653
dsgdb9nsd_000152,-232.4311
dsgdb9nsd_000155,-268.3395
dsgdb9nsd_000157,-247.2968
dsgdb9nsd_000158,-231.2348
dsgdb9nsd_000159,-196.5731
dsgdb9nsd_000161,-268.3664
dsgdb9nsd_000162,-195.2958
dsgdb9nsd_000164,-231.1939
dsgdb9nsd_000165,-226.2157
dsgdb9nsd_000166,-242.2392
dsgdb9nsd_000168,-242.2555
dsgdb9nsd_000169,-242.2459
dsgdb9nsd_000170,-246.0521
dsgdb9nsd_000171,-262.0805
dsgdb9nsd_000172,-262.1031
dsgdb9nsd_000173,-262.112
dsgdb9nsd_000174,-278.1092
dsgdb9nsd_000179,-323.6913
dsgdb9nsd_000183,-322.4351
dsgdb9nsd_000188,-321.3394
dsgdb9nsd_000189,-341.1964
dsgdb9nsd_000190,-249.5073
dsgdb9nsd_000191,-269.365
dsgdb9nsd_000192,-285.4145
dsgdb9nsd_000193,-285.4162
dsgdb9nsd_000195,-285.4001
dsgdb9nsd_000197,-301.4566
dsgdb9nsd_000198,-285.4066
dsgdb9nsd_000199,-301.4533
dsgdb9nsd_000200,-301.4649
dsgdb9nsd_000201,-249.5052
dsgdb9nsd_000202,-265.556
dsgdb9nsd_000205,-265.5375
dsgdb9nsd_000209,-285.4028
dsgdb9nsd_000214,-232.2648
dsgdb9nsd_000215,-248.3006
dsgdb9nsd_000217,-264.3388
dsgdb9nsd_000218,-280.3793
dsgdb9nsd_000221,-266.7496
dsgdb9nsd_000224,-271.7963
dsgdb9nsd_000227,-308.9095
dsgdb9nsd_000228,-237.105
dsgdb9nsd_000229,-273.0112
dsgdb9nsd_000230,-272.9988
dsgdb9nsd_000231,-269.3237
dsgdb9nsd_000232,-285.3834
dsgdb9nsd_000234,-270.526
dsgdb9nsd_000236,-285.4072
dsgdb9nsd_000237,-285.3707
dsgdb9nsd_000238,-301.4672
dsgdb9nsd_000239,-302.6853
dsgdb9nsd_000240,-322.5438
dsgdb9nsd_000244,-322.5479
dsgdb9nsd_000249,-338.6042
dsgdb9nsd_000250,-234.6169
dsgdb9nsd_000254,-266.7282
dsgdb9nsd_000256,-287.8584
dsgdb9nsd_000258,-307.6949
dsgdb9nsd_000259,-287.8103
dsgdb9nsd_000260,-307.7031
dsgdb9nsd_000261,-271.8064
dsgdb9nsd_000262,-287.8672
dsgdb9nsd_000265,-307.7326
dsgdb9nsd_000269,-323.7477
dsgdb9nsd_000270,-323.764
dsgdb9nsd_000271,-323.6907
dsgdb9nsd_000274,-237.1058
dsgdb9nsd_000281,-322.5659
dsgdb9nsd_000285,-287.8676
dsgdb9nsd_000287,-307.7114
dsgdb9nsd_000288,-323.7729
dsgdb9nsd_000289,-287.8537
dsgdb9nsd_000290,-303.9055
dsgdb9nsd_000294,-235.8651
dsgdb9nsd_000295,-271.7686
dsgdb9nsd_000298,-307.6633
dsgdb9nsd_000299,-271.7633
dsgdb9nsd_000300,-307.6637
dsgdb9nsd_000304,-251.8859
dsgdb9nsd_000306,-270.5656
dsgdb9nsd_000308,-306.4995
dsgdb9nsd_000312,-271.7708
dsgdb9nsd_000313,-271.7674
dsgdb9nsd_000316,-234.5997
dsgdb9nsd_000319,-270.5036
dsgdb9nsd_000320,-286.5178
dsgdb9nsd_000326,-341.1434
dsgdb9nsd_000328,-248.216
dsgdb9nsd_000329,-264.3087
dsgdb9nsd_000330,-264.2444
dsgdb9nsd_000331,-280.3357
dsgdb9nsd_000332,-268.0144
dsgdb9nsd_000337,-305.2005
dsgdb9nsd_000338,-321.2934
dsgdb9nsd_000340,-302.6765
dsgdb9nsd_000341,-322.5614
dsgdb9nsd_000343,-281.5652
dsgdb9nsd_000346,-285.4005
dsgdb9nsd_000349,-305.227
dsgdb9nsd_000352,-321.2893
dsgdb9nsd_000353,-306.4864
dsgdb9nsd_000354,-302.6541
dsgdb9nsd_000355,-322.5372
dsgdb9nsd_000356,-342.4002
dsgdb9nsd_000358,-271.8074
dsgdb9nsd_000360,-287.8628
dsgdb9nsd_000361,-307.7285
dsgdb9nsd_000363,-303.9067
dsgdb9nsd_000364,-323.7765
dsgdb9nsd_000366,-343.6265
dsgdb9nsd_000367,-343.5858
dsgdb9nsd_000368,-287.8265
dsgdb9nsd_000369,-270.5136
dsgdb9nsd_000370,-286.6118
dsgdb9nsd_000371,-234.615
dsgdb9nsd_000374,-270.5148
dsgdb9nsd_000375,-286.6111
dsgdb9nsd_000376,-266.7348
dsgdb9nsd_000377,-270.5009
dsgdb9nsd_000378,-286.6017
dsgdb9nsd_000379,-302.6415
dsgdb9nsd_000380,-282.7765
dsgdb9nsd_000382,-306.4154
dsgdb9nsd_000385,-271.7927
dsgdb9nsd_000387,-287.8511
dsgdb9nsd_000388,-307.6832
dsgdb9nsd_000389,-343.5984
dsgdb9nsd_000392,-273.003
dsgdb9nsd_000393,-272.9988
dsgdb9nsd_000394,-273.0094
dsgdb9nsd_000395,-308.91
dsgdb9nsd_000396,-308.8987
dsgdb9nsd_000397,-344.8082
dsgdb9nsd_000398,-233.3735
dsgdb9nsd_000399,-249.472
dsgdb9nsd_000400,-249.4
dsgdb9nsd_000401,-265.4967
dsgdb9nsd_000402,-269.2701
dsgdb9nsd_000403,-285.3647
dsgdb9nsd_000405,-269.2709
dsgdb9nsd_000406,-285.3671
