molecule_name,atom_index_0,atom_index_1,type,fc,sd,pso,dso
dsgdb9nsd_000001,1,0,1JHC,83.0224,0.254579,1.25862,0.27201
dsgdb9nsd_000001,1,2,2JHH,-11.0347,0.352978,2.85839,-3.4336
dsgdb9nsd_000001,1,3,2JHH,-11.0325,0.352944,2.85852,-3.43387
dsgdb9nsd_000001,1,4,2JHH,-11.0319,0.352934,2.85855,-3.43393
dsgdb9nsd_000001,2,0,1JHC,83.0222,0.254585,1.25861,0.272013
dsgdb9nsd_000001,2,3,2JHH,-11.0317,0.352932,2.85856,-3.43395
dsgdb9nsd_000001,2,4,2JHH,-11.0324,0.352943,2.85853,-3.43387
dsgdb9nsd_000001,3,0,1JHC,83.0241,0.254634,1.25856,0.272012
dsgdb9nsd_000001,3,4,2JHH,-11.0319,0.352943,2.85856,-3.43393
dsgdb9nsd_000001,4,0,1JHC,83.0243,0.254628,1.25856,0.272012
dsgdb9nsd_000002,1,0,1JHN,30.6116,0.059952,1.94935,0.067923
dsgdb9nsd_000002,1,2,2JHH,-11.828,0.574885,5.01783,-4.95141
dsgdb9nsd_000002,1,3,2JHH,-11.8157,0.574494,5.01889,-4.95335
dsgdb9nsd_000002,2,0,1JHN,30.6119,0.059961,1.94935,0.067922
dsgdb9nsd_000002,2,3,2JHH,-11.8159,0.574501,5.0189,-4.95335
dsgdb9nsd_000002,3,0,1JHN,30.6135,0.059939,1.94911,0.067931
dsgdb9nsd_000003,1,2,2JHH,-12.0161,0.724981,8.20153,-6.85679
dsgdb9nsd_000005,2,0,1JHC,170.506,0.867723,-0.654267,0.5009
dsgdb9nsd_000005,2,1,2JHN,2.74055,0.537983,2.34189,-0.437965
dsgdb9nsd_000007,2,0,1JHC,81.7863,0.186612,1.0638,0.506273
dsgdb9nsd_000007,2,1,2JHC,-2.42493,0.077475,0.317149,-0.348001
dsgdb9nsd_000007,2,3,2JHH,-11.73,0.375,2.48556,-2.83099
dsgdb9nsd_000007,2,4,2JHH,-11.7273,0.374949,2.48568,-2.83122
dsgdb9nsd_000007,2,5,3JHH,3.38259,0.063734,0.739016,-0.932534
dsgdb9nsd_000007,2,6,3JHH,14.5667,0.025484,2.16261,-3.06353
dsgdb9nsd_000007,2,7,3JHH,3.38183,0.063731,0.739005,-0.932512
dsgdb9nsd_000007,3,0,1JHC,81.785,0.186562,1.06384,0.506275
dsgdb9nsd_000007,3,1,2JHC,-2.42525,0.077477,0.317142,-0.347991
dsgdb9nsd_000007,3,4,2JHH,-11.7291,0.374969,2.48558,-2.83104
dsgdb9nsd_000007,3,5,3JHH,14.5678,0.025487,2.1626,-3.06351
dsgdb9nsd_000007,3,6,3JHH,3.38233,0.063729,0.739035,-0.932563
