molecule_name,atom_index,atom,x,y,z
dsgdb9nsd_000001,0,C,-0.0126981359,1.085804158,0.0080009958
dsgdb9nsd_000001,1,H,0.002150416,-0.0060313176,0.0019761204
dsgdb9nsd_000001,2,H,1.011730843,1.463751162,0.0002765748
dsgdb9nsd_000001,3,H,-0.540815069,1.447526614,-0.8766437152
dsgdb9nsd_000001,4,H,-0.5238136345,1.437932644,0.9063972942
dsgdb9nsd_000002,0,N,-0.0404260543,1.024107753,0.0625637998
dsgdb9nsd_000002,1,H,0.0172574639,0.0125452063,-0.0273771593
dsgdb9nsd_000002,2,H,0.9157893661,1.358745195,-0.0287577581
dsgdb9nsd_000002,3,H,-0.5202777357,1.343532126,-0.7755426124
dsgdb9nsd_000003,0,O,-0.0343604951,0.9775395708,0.0076015923
dsgdb9nsd_000003,1,H,0.0647664923,0.0205721989,0.0015346341
dsgdb9nsd_000003,2,H,0.8717903737,1.300792405,0.0006931336
dsgdb9nsd_000004,0,C,0.5995394918,0,1
dsgdb9nsd_000004,1,C,-0.5995394918,0,1
dsgdb9nsd_000004,2,H,-1.661638586,0,1
dsgdb9nsd_000004,3,H,1.661638586,0,1
dsgdb9nsd_000005,0,C,-0.0133239314,1.132465715,0.0082758861
dsgdb9nsd_000005,1,N,0.0023107217,-0.0191585871,0.0019287305
dsgdb9nsd_000005,2,H,-0.0278026991,2.198949296,0.0141537903
dsgdb9nsd_000007,0,C,-0.0187040036,1.525582015,0.0104328082
dsgdb9nsd_000007,1,C,0.0021037439,-0.0038819102,0.0019988214
dsgdb9nsd_000007,2,H,0.9948727479,1.939743236,0.0029412016
dsgdb9nsd_000007,3,H,-0.5420761069,1.923610632,-0.8651173523
dsgdb9nsd_000007,4,H,-0.5252411248,1.914173078,0.9000239916
dsgdb9nsd_000007,5,H,0.5254865372,-0.4019078419,0.8775439536
dsgdb9nsd_000007,6,H,-1.011476507,-0.4180337979,0.0095084879
dsgdb9nsd_000007,7,H,0.5086261934,-0.3924704005,-0.8876011721
dsgdb9nsd_000008,0,C,-0.0082881667,1.390469779,-0.0056006901
dsgdb9nsd_000008,1,O,-0.0079703813,-0.0250453723,0.0203060595
dsgdb9nsd_000008,2,H,1.006583385,1.815563659,0.0034833514
dsgdb9nsd_000008,3,H,-0.5465747513,1.799169746,-0.8739012577
