id,molecule_name,atom_index_0,atom_index_1,type,scalar_coupling_constant
0,dsgdb9nsd_000001,1,0,1JHC,84.8076
1,dsgdb9nsd_000001,1,2,2JHH,-11.257
2,dsgdb9nsd_000001,1,3,2JHH,-11.2548
3,dsgdb9nsd_000001,1,4,2JHH,-11.2543
4,dsgdb9nsd_000001,2,0,1JHC,84.8074
5,dsgdb9nsd_000001,2,3,2JHH,-11.2541
6,dsgdb9nsd_000001,2,4,2JHH,-11.2548
7,dsgdb9nsd_000001,3,0,1JHC,84.8093
8,dsgdb9nsd_000001,3,4,2JHH,-11.2543
9,dsgdb9nsd_000001,4,0,1JHC,84.8095
10,dsgdb9nsd_000002,1,0,1JHN,32.6889
11,dsgdb9nsd_000002,1,2,2JHH,-11.1866
12,dsgdb9nsd_000002,1,3,2JHH,-11.1757
13,dsgdb9nsd_000002,2,0,1JHN,32.6891
14,dsgdb9nsd_000002,2,3,2JHH,-11.1758
15,dsgdb9nsd_000002,3,0,1JHN,32.6905
16,dsgdb9nsd_000003,1,2,2JHH,-9.94641
17,dsgdb9nsd_000005,2,0,1JHC,171.22
18,dsgdb9nsd_000005,2,1,2JHN,5.18246
19,dsgdb9nsd_000007,2,0,1JHC,83.5429
20,dsgdb9nsd_000007,2,1,2JHC,-2.37831
21,dsgdb9nsd_000007,2,3,2JHH,-11.7005
22,dsgdb9nsd_000007,2,4,2JHH,-11.6979
23,dsgdb9nsd_000007,2,5,3JHH,3.25281
24,dsgdb9nsd_000007,2,6,3JHH,13.6913
25,dsgdb9nsd_000007,2,7,3JHH,3.25205
26,dsgdb9nsd_000007,3,0,1JHC,83.5417
27,dsgdb9nsd_000007,3,1,2JHC,-2.37862
28,dsgdb9nsd_000007,3,4,2JHH,-11.6996
29,dsgdb9nsd_000007,3,5,3JHH,13.6924
30,dsgdb9nsd_000007,3,6,3JHH,3.25253
31,dsgdb9nsd_000007,3,7,3JHH,3.25272
32,dsgdb9nsd_000007,4,0,1JHC,83.5484
33,dsgdb9nsd_000007,4,1,2JHC,-2.37716
34,dsgdb9nsd_000007,4,5,3JHH,3.25243
35,dsgdb9nsd_000007,4,6,3JHH,3.25242
36,dsgdb9nsd_000007,4,7,3JHH,13.6921
37,dsgdb9nsd_000007,5,0,2JHC,-2.37876
38,dsgdb9nsd_000007,5,1,1JHC,83.5418
39,dsgdb9nsd_000007,5,6,2JHH,-11.7005
40,dsgdb9nsd_000007,5,7,2JHH,-11.6993
41,dsgdb9nsd_000007,6,0,2JHC,-2.37852
42,dsgdb9nsd_000007,6,1,1JHC,83.543
43,dsgdb9nsd_000007,6,7,2JHH,-11.6976
44,dsgdb9nsd_000007,7,0,2JHC,-2.37724
